Id,Label,timeset,degree,modularity_class,vote_average0
357,357,,1,282,5.0
358,358,,1,671,7.0
359,359,,5,909,6.0
360,360,,4,499,7.0
361,361,,9,668,6.0
362,362,,8,668,6.0
363,363,,3,25,7.0
364,364,,1,1671,5.0
365,365,,3,499,7.0
366,366,,0,55,6.0
367,367,,3,993,6.0
368,368,,1,928,6.0
369,369,,3,499,6.0
370,370,,5,98,7.0
371,371,,1,1084,6.0
372,372,,0,56,7.0
373,373,,1,1079,6.0
374,374,,5,1192,7.0
375,375,,1,437,7.0
376,376,,0,57,5.0
377,377,,0,58,6.0
378,378,,1,1108,6.0
379,379,,3,1023,7.0
380,380,,1,949,7.0
381,381,,0,59,5.0
382,382,,0,60,7.0
383,383,,1,61,6.0
384,384,,0,62,8.0
385,385,,8,779,6.0
386,386,,4,1192,7.0
387,387,,3,505,6.0
388,388,,14,64,7.0
389,389,,1,139,6.0
390,390,,11,668,7.0
391,391,,1,928,7.0
392,392,,5,98,6.0
393,393,,0,63,5.0
394,394,,2,505,6.0
395,395,,4,25,7.0
396,396,,3,1079,7.0
397,397,,2,98,6.0
398,398,,13,64,7.0
399,399,,0,65,6.0
400,400,,4,66,7.0
401,401,,2,64,7.0
402,402,,2,837,6.0
403,403,,1,1103,6.0
404,404,,2,1071,7.0
405,405,,1,2228,6.0
406,406,,7,855,7.0
407,407,,1,64,7.0
408,408,,1,254,6.0
409,409,,0,67,7.0
410,410,,0,68,6.0
411,411,,1,1246,7.0
412,412,,1,163,5.0
413,413,,1,1187,5.0
414,414,,6,1166,5.0
415,415,,1,116,7.0
416,416,,3,668,6.0
417,417,,5,1568,7.0
418,418,,1,505,5.0
419,419,,3,620,6.0
420,420,,3,1063,7.0
421,421,,6,928,7.0
422,422,,1,1012,6.0
423,423,,4,949,6.0
424,424,,5,1103,6.0
425,425,,6,993,7.0
426,426,,5,1012,7.0
427,427,,4,1079,6.0
428,428,,6,139,7.0
429,429,,10,1063,6.0
430,430,,0,69,7.0
431,431,,4,139,6.0
432,432,,3,949,6.0
433,433,,8,1079,6.0
434,434,,5,668,6.0
435,435,,7,909,5.0
436,436,,16,668,6.0
437,437,,8,505,6.0
438,438,,3,505,6.0
439,439,,7,499,8.0
440,440,,7,505,5.0
441,441,,0,70,6.0
442,442,,2,1079,7.0
443,443,,0,71,6.0
444,444,,4,1134,7.0
445,445,,5,668,6.0
446,446,,6,993,7.0
447,447,,1,514,6.0
448,448,,7,1012,7.0
449,449,,3,1041,7.0
450,450,,0,72,5.0
451,451,,1,505,5.0
452,452,,1,949,7.0
453,453,,2,1195,6.0
454,454,,3,139,5.0
455,455,,2,368,7.0
456,456,,0,73,7.0
457,457,,1,332,6.0
458,458,,0,74,5.0
459,459,,0,75,7.0
460,460,,8,668,5.0
461,461,,0,76,5.0
462,462,,7,98,6.0
463,463,,0,77,8.0
464,464,,10,668,7.0
465,465,,0,78,7.0
466,466,,1,1103,6.0
467,467,,1,409,6.0
468,468,,6,1096,6.0
469,469,,1,1079,6.0
470,470,,0,79,7.0
471,471,,10,668,5.0
472,472,,2,25,6.0
473,473,,5,1166,6.0
474,474,,0,80,6.0
475,475,,0,81,7.0
476,476,,1,139,6.0
477,477,,0,82,7.0
478,478,,0,83,6.0
479,479,,0,84,5.0
480,480,,1,1568,3.0
481,481,,0,85,6.0
482,482,,0,86,5.0
483,483,,3,1079,5.0
484,484,,2,1246,6.0
485,485,,2,779,5.0
486,486,,0,87,6.0
487,487,,0,88,5.0
488,488,,0,89,6.0
489,489,,0,90,7.0
490,490,,0,91,5.0
491,491,,1,706,5.0
