Id,Label,timeset,degree,modularity_class,vote_average0
3834,3834,,2,414,7.0
3835,3835,,0,997,6.0
3836,3836,,0,998,5.0
3837,3837,,1,1643,6.0
3838,3838,,3,227,7.0
3839,3839,,1,300,8.0
3840,3840,,0,999,5.0
3841,3841,,7,293,8.0
3842,3842,,1,267,5.0
3843,3843,,0,1000,4.0
3844,3844,,0,1001,5.0
3845,3845,,0,1002,7.0
3846,3846,,0,1003,6.0
3847,3847,,0,1004,7.0
3848,3848,,0,1005,6.0
3849,3849,,0,1006,3.0
3850,3850,,0,1007,5.0
3851,3851,,0,1008,2.0
3852,3852,,0,1009,0.0
3853,3853,,0,1010,5.0
3854,3854,,0,1011,8.0
3855,3855,,2,199,0.0
3856,3856,,4,79,3.0
3857,3857,,0,1012,5.0
3858,3858,,0,1013,5.0
3859,3859,,0,1014,4.0
3860,3860,,5,1083,7.0
3861,3861,,0,1015,7.0
3862,3862,,1,342,7.0
3863,3863,,0,1016,6.0
3864,3864,,0,1017,6.0
3865,3865,,0,1018,8.0
3866,3866,,4,264,8.0
3867,3867,,0,1019,7.0
3868,3868,,0,1020,7.0
3869,3869,,1,1322,6.0
3870,3870,,0,1021,8.0
3871,3871,,3,519,7.0
3872,3872,,1,340,7.0
3873,3873,,2,1022,6.0
3874,3874,,0,1023,4.0
3875,3875,,0,1024,8.0
3876,3876,,0,1025,7.0
3877,3877,,4,425,8.0
3878,3878,,2,1195,7.0
3879,3879,,6,311,7.0
3880,3880,,0,1026,7.0
3881,3881,,3,199,7.0
3882,3882,,0,1027,6.0
3883,3883,,1,1417,7.0
3884,3884,,10,224,7.0
3885,3885,,0,1028,6.0
3886,3886,,2,493,8.0
3887,3887,,2,267,8.0
3888,3888,,9,650,6.0
3889,3889,,0,1029,6.0
3890,3890,,4,225,7.0
3891,3891,,2,1576,7.0
3892,3892,,2,293,7.0
3893,3893,,7,318,6.0
3894,3894,,6,759,7.0
3895,3895,,3,351,6.0
3896,3896,,9,318,7.0
3897,3897,,3,199,5.0
3898,3898,,1,1195,8.0
3899,3899,,2,1202,6.0
3900,3900,,0,1030,5.0
3901,3901,,0,1031,6.0
3902,3902,,0,1032,6.0
3903,3903,,3,414,8.0
3904,3904,,1,187,5.0
3905,3905,,10,414,7.0
3906,3906,,2,414,8.0
3907,3907,,0,1033,4.0
3908,3908,,5,414,6.0
3909,3909,,0,1034,6.0
3910,3910,,0,1035,7.0
3911,3911,,2,615,7.0
3912,3912,,0,1036,5.0
3913,3913,,1,1195,7.0
3914,3914,,1,697,8.0
3915,3915,,2,199,5.0
3916,3916,,0,1037,7.0
3917,3917,,0,1038,4.0
3918,3918,,7,1039,7.0
3919,3919,,0,1040,4.0
3920,3920,,2,351,6.0
3921,3921,,2,615,5.0
3922,3922,,2,1124,6.0
3923,3923,,0,1041,7.0
3924,3924,,0,1042,7.0
3925,3925,,0,1043,3.0
3926,3926,,4,509,6.0
3927,3927,,4,509,6.0
3928,3928,,0,1044,7.0
3929,3929,,0,1045,5.0
3930,3930,,0,1046,5.0
3931,3931,,6,267,8.0
3932,3932,,1,1146,6.0
3933,3933,,2,1342,6.0
3934,3934,,1,502,7.0
3935,3935,,1,1220,7.0
3936,3936,,2,351,7.0
3937,3937,,1,1047,7.0
3938,3938,,1,275,6.0
3939,3939,,4,160,5.0
3940,3940,,1,179,8.0
3941,3941,,0,1048,7.0
3942,3942,,1,311,6.0
3943,3943,,0,1049,5.0
3944,3944,,11,293,7.0
3945,3945,,1,1116,6.0
3946,3946,,0,1050,7.0
3947,3947,,1,1472,6.0
3948,3948,,1,301,4.0
3949,3949,,0,1051,5.0
3950,3950,,0,1052,4.0
3951,3951,,0,1053,5.0
3952,3952,,2,576,7.0
3953,3953,,0,1054,6.0
3954,3954,,0,1055,4.0
3955,3955,,0,1056,6.0
3956,3956,,1,100,6.0
3957,3957,,0,1057,6.0
3958,3958,,0,1058,5.0
3959,3959,,0,1059,3.0
3960,3960,,0,1060,0.0
3961,3961,,0,1061,5.0
3962,3962,,0,1062,5.0
3963,3963,,3,1063,5.0
3964,3964,,1,1264,3.0
3965,3965,,0,1064,6.0
3966,3966,,3,311,7.0
3967,3967,,0,1065,0.0
3968,3968,,0,1066,5.0
3969,3969,,0,1067,5.0
3970,3970,,0,1068,3.0
3971,3971,,0,1069,6.0
3972,3972,,0,1070,6.0
3973,3973,,0,1071,6.0
3974,3974,,5,325,8.0
3975,3975,,0,1072,7.0
3976,3976,,0,1073,5.0
3977,3977,,0,1074,7.0
3978,3978,,4,1181,4.0
3979,3979,,4,311,7.0
3980,3980,,2,229,7.0
3981,3981,,0,1075,6.0
3982,3982,,0,1076,4.0
3983,3983,,1,465,7.0
3984,3984,,2,414,8.0
3985,3985,,0,1077,5.0
3986,3986,,2,1082,7.0
3987,3987,,5,1083,8.0
3988,3988,,4,134,5.0
3989,3989,,0,1078,8.0
3990,3990,,1,1385,7.0
3991,3991,,1,573,7.0
3992,3992,,0,1079,10.0
3993,3993,,0,1080,5.0
3994,3994,,2,1195,6.0
3995,3995,,0,1081,7.0
3996,3996,,3,1082,6.0
3997,3997,,5,1083,7.0
3998,3998,,0,1084,6.0
3999,3999,,1,1205,7.0
4000,4000,,6,759,7.0
4001,4001,,0,1085,5.0
4002,4002,,1,1477,8.0
4003,4003,,0,1086,7.0
4004,4004,,1,1454,7.0
4005,4005,,0,1087,5.0
4006,4006,,0,1088,8.0
4007,4007,,0,1089,7.0
4008,4008,,2,1090,5.0
4009,4009,,0,1091,5.0
4010,4010,,6,425,7.0
4011,4011,,7,311,5.0
4012,4012,,8,134,6.0
4013,4013,,8,181,8.0
4014,4014,,1,225,7.0
4015,4015,,5,293,7.0
4016,4016,,2,40,7.0
4017,4017,,4,1039,8.0
4018,4018,,0,1092,7.0
4019,4019,,0,1093,7.0
4020,4020,,1,1094,7.0
4021,4021,,0,1095,5.0
4022,4022,,0,1096,7.0
4023,4023,,0,1097,7.0
4024,4024,,5,509,7.0
4025,4025,,4,65,7.0
4026,4026,,0,1098,7.0
4027,4027,,0,1099,7.0
4028,4028,,0,1100,7.0
4029,4029,,0,1101,6.0
4030,4030,,0,1102,6.0
4031,4031,,2,325,6.0
4032,4032,,0,1103,6.0
4033,4033,,4,248,7.0
4034,4034,,0,1104,5.0
4035,4035,,0,1105,5.0
4036,4036,,0,1106,5.0
4037,4037,,9,650,7.0
4038,4038,,0,1107,5.0
4039,4039,,1,1108,6.0
4040,4040,,0,1109,5.0
4041,4041,,1,1288,7.0
4042,4042,,0,1110,3.0
4043,4043,,2,1112,7.0
4044,4044,,0,1111,5.0
4045,4045,,1,198,10.0
4046,4046,,2,1112,7.0
4047,4047,,1,272,5.0
4048,4048,,0,1113,6.0
4049,4049,,6,308,7.0
4050,4050,,1,121,7.0
4051,4051,,0,1114,0.0
4052,4052,,4,134,6.0
4053,4053,,0,1115,5.0
4054,4054,,1,1116,6.0
4055,4055,,2,1418,7.0
4056,4056,,0,1117,6.0
4057,4057,,1,1082,6.0
4058,4058,,0,1118,6.0
4059,4059,,0,1119,4.0
4060,4060,,0,1120,5.0
4061,4061,,2,1253,6.0
4062,4062,,0,1121,8.0
4063,4063,,1,1219,7.0
4064,4064,,0,1122,7.0
4065,4065,,0,1123,0.0
4066,4066,,2,225,7.0
4067,4067,,1,1124,5.0
4068,4068,,1,1124,0.0
4069,4069,,0,1125,5.0
4070,4070,,0,1126,4.0
4071,4071,,11,224,7.0
4072,4072,,0,1127,5.0
4073,4073,,21,379,7.0
4074,4074,,0,1128,7.0
4075,4075,,21,379,7.0
4076,4076,,7,181,8.0
4077,4077,,7,439,7.0
4078,4078,,0,1129,7.0
4079,4079,,2,180,7.0
4080,4080,,0,1130,5.0
4081,4081,,4,534,8.0
4082,4082,,3,1629,7.0
4083,4083,,0,1131,8.0
4084,4084,,0,1132,7.0
4085,4085,,0,1133,7.0
4086,4086,,0,1134,7.0
4087,4087,,1,411,7.0
4088,4088,,5,1039,8.0
4089,4089,,3,293,8.0
4090,4090,,8,187,7.0
4091,4091,,2,1268,7.0
4092,4092,,0,1135,7.0
4093,4093,,3,199,8.0
4094,4094,,0,1136,5.0
4095,4095,,1,180,7.0
4096,4096,,5,199,8.0
4097,4097,,0,1137,6.0
4098,4098,,3,311,7.0
4099,4099,,4,325,6.0
4100,4100,,7,267,6.0
4101,4101,,8,40,5.0
4102,4102,,0,1138,6.0
4103,4103,,1,1139,6.0
4104,4104,,0,1140,8.0
4105,4105,,0,1141,5.0
4106,4106,,2,199,7.0
4107,4107,,0,1142,7.0
4108,4108,,0,1143,8.0
4109,4109,,2,1500,7.0
4110,4110,,0,1144,7.0
4111,4111,,0,1145,7.0
4112,4112,,1,1146,6.0
4113,4113,,0,1147,5.0
4114,4114,,4,495,6.0
4115,4115,,2,100,6.0
4116,4116,,0,1148,5.0
4117,4117,,0,1149,6.0
4118,4118,,0,1150,0.0
4119,4119,,0,1151,7.0
4120,4120,,0,1152,6.0
4121,4121,,2,1288,6.0
4122,4122,,2,420,5.0
4123,4123,,2,420,7.0
4124,4124,,0,1153,5.0
4125,4125,,1,1154,6.0
4126,4126,,3,325,6.0
4127,4127,,0,1155,6.0
4128,4128,,0,1156,6.0
4129,4129,,0,1157,6.0
4130,4130,,0,1158,6.0
4131,4131,,0,1159,6.0
4132,4132,,4,100,7.0
4133,4133,,3,187,5.0
4134,4134,,0,1160,5.0
4135,4135,,0,1161,7.0
4136,4136,,0,1162,7.0
4137,4137,,0,1163,6.0
4138,4138,,0,1164,6.0
4139,4139,,0,1165,5.0
4140,4140,,0,1166,0.0
4141,4141,,25,379,7.0
4142,4142,,0,1167,4.0
4143,4143,,0,1168,6.0
4144,4144,,0,1169,7.0
4145,4145,,0,1170,4.0
4146,4146,,2,1171,6.0
4147,4147,,1,1172,6.0
4148,4148,,0,1173,7.0
4149,4149,,0,1174,7.0
4150,4150,,3,1039,5.0
4151,4151,,0,1175,6.0
4152,4152,,2,1171,5.0
4153,4153,,2,224,6.0
4154,4154,,3,1576,6.0
4155,4155,,0,1176,4.0
4156,4156,,0,1177,4.0
4157,4157,,0,1178,4.0
4158,4158,,0,1179,4.0
4159,4159,,0,1180,7.0
4160,4160,,4,1181,7.0
4161,4161,,1,1182,6.0
4162,4162,,1,390,7.0
4163,4163,,1,1374,7.0
4164,4164,,0,1183,8.0
4165,4165,,0,1184,6.0
4166,4166,,0,1185,6.0
4167,4167,,1,446,8.0
4168,4168,,0,1186,6.0
4169,4169,,0,1187,7.0
4170,4170,,0,1188,6.0
4171,4171,,1,293,7.0
4172,4172,,1,187,8.0
4173,4173,,1,602,8.0
4174,4174,,0,1189,6.0
4175,4175,,1,1413,7.0
4176,4176,,2,1202,6.0
4177,4177,,0,1190,6.0
4178,4178,,0,1191,5.0
4179,4179,,0,1192,7.0
4180,4180,,2,311,6.0
4181,4181,,0,1193,6.0
4182,4182,,0,1194,7.0
4183,4183,,1,1202,7.0
4184,4184,,4,1195,7.0
4185,4185,,0,1196,5.0
4186,4186,,0,1197,0.0
4187,4187,,0,1198,4.0
4188,4188,,0,1199,5.0
4189,4189,,3,553,7.0
4190,4190,,0,1200,6.0
4191,4191,,0,1201,5.0
4192,4192,,2,257,7.0
4193,4193,,1,1202,6.0
4194,4194,,3,40,6.0
4195,4195,,0,1203,6.0
4196,4196,,0,1204,6.0
4197,4197,,1,1205,6.0
4198,4198,,0,1206,7.0
4199,4199,,0,1207,6.0
4200,4200,,2,493,7.0
4201,4201,,3,493,7.0
4202,4202,,1,1268,7.0
4203,4203,,0,1208,6.0
4204,4204,,0,1209,6.0
4205,4205,,0,1210,4.0
4206,4206,,0,1211,7.0
4207,4207,,0,1212,5.0
4208,4208,,0,1213,8.0
4209,4209,,1,264,8.0
4210,4210,,0,1214,0.0
4211,4211,,1,1502,7.0
4212,4212,,0,1215,7.0
4213,4213,,0,1216,4.0
4214,4214,,0,1217,7.0
4215,4215,,0,1218,7.0
4216,4216,,3,493,8.0
4217,4217,,1,1219,7.0
4218,4218,,1,1220,7.0
4219,4219,,5,509,6.0
4220,4220,,3,439,5.0
4221,4221,,4,414,7.0
4222,4222,,5,509,7.0
4223,4223,,0,1221,7.0
4224,4224,,6,560,7.0
4225,4225,,0,1222,7.0
4226,4226,,0,1223,7.0
4227,4227,,0,1224,7.0
4228,4228,,0,1225,7.0
4229,4229,,0,1226,6.0
4230,4230,,1,1227,6.0
4231,4231,,0,1228,7.0
4232,4232,,5,325,7.0
4233,4233,,0,1229,3.0
4234,4234,,3,445,6.0
4235,4235,,0,1230,6.0
4236,4236,,0,1231,5.0
4237,4237,,0,1232,6.0
4238,4238,,0,1233,8.0
4239,4239,,1,449,6.0
4240,4240,,0,1234,6.0
4241,4241,,1,524,4.0
4242,4242,,0,1235,7.0
4243,4243,,1,572,6.0
4244,4244,,3,503,6.0
4245,4245,,0,1236,7.0
4246,4246,,0,1237,7.0
4247,4247,,0,1238,10.0
4248,4248,,2,1239,5.0
4249,4249,,0,1240,7.0
4250,4250,,6,325,7.0
4251,4251,,0,1241,7.0
4252,4252,,0,1242,6.0
4253,4253,,0,1243,6.0
4254,4254,,0,1244,3.0
4255,4255,,0,1245,7.0
4256,4256,,0,1246,4.0
4257,4257,,0,1247,3.0
4258,4258,,0,1248,8.0
4259,4259,,1,311,7.0
4260,4260,,0,1249,7.0
4261,4261,,0,1250,5.0
4262,4262,,0,1251,6.0
4263,4263,,0,1252,5.0
4264,4264,,2,1253,5.0
4265,4265,,0,1254,6.0
4266,4266,,0,1255,0.0
4267,4267,,1,89,6.0
4268,4268,,4,267,8.0
4269,4269,,0,1256,0.0
4270,4270,,0,1257,8.0
4271,4271,,1,1442,7.0
4272,4272,,0,1258,5.0
4273,4273,,0,1259,7.0
4274,4274,,0,1260,6.0
4275,4275,,0,1261,0.0
4276,4276,,6,318,3.0
4277,4277,,0,1262,6.0
4278,4278,,0,1263,2.0
4279,4279,,1,1264,3.0
4280,4280,,0,1265,5.0
4281,4281,,3,414,8.0
4282,4282,,4,134,6.0
4283,4283,,2,414,7.0
4284,4284,,1,267,5.0
4285,4285,,0,1266,6.0
4286,4286,,0,1267,6.0
4287,4287,,1,1195,7.0
4288,4288,,3,1268,7.0
4289,4289,,8,650,4.0
4290,4290,,8,40,7.0
4291,4291,,2,560,7.0
4292,4292,,3,746,7.0
4293,4293,,0,1269,0.0
4294,4294,,0,1270,6.0
4295,4295,,8,509,7.0
4296,4296,,0,1271,7.0
4297,4297,,3,414,7.0
4298,4298,,1,267,7.0
4299,4299,,0,1272,6.0
4300,4300,,4,311,8.0
4301,4301,,1,1273,6.0
4302,4302,,6,311,8.0
4303,4303,,0,1274,8.0
4304,4304,,0,1275,6.0
4305,4305,,0,1276,0.0
4306,4306,,1,604,7.0
4307,4307,,0,1277,0.0
4308,4308,,0,1278,4.0
4309,4309,,0,1279,0.0
4310,4310,,0,1280,6.0
4311,4311,,0,1281,4.0
4312,4312,,1,1296,7.0
4313,4313,,0,1282,4.0
4314,4314,,0,1283,5.0
4315,4315,,3,493,6.0
4316,4316,,0,1284,7.0
4317,4317,,0,1285,4.0
4318,4318,,0,1286,2.0
4319,4319,,0,1287,6.0
4320,4320,,2,1288,7.0
4321,4321,,0,1289,7.0
4322,4322,,0,1290,5.0
4323,4323,,0,1291,7.0
4324,4324,,0,1292,6.0
4325,4325,,0,1293,6.0
4326,4326,,3,220,7.0
4327,4327,,0,1294,3.0
4328,4328,,0,1295,4.0
4329,4329,,1,1296,8.0
4330,4330,,0,1297,6.0
4331,4331,,0,1298,7.0
4332,4332,,0,1299,6.0
4333,4333,,4,224,8.0
4334,4334,,0,1300,4.0
4335,4335,,3,414,6.0
4336,4336,,0,1301,6.0
4337,4337,,14,379,8.0
4338,4338,,10,134,6.0
4339,4339,,6,224,7.0
4340,4340,,0,1302,5.0
4341,4341,,6,318,7.0
4342,4342,,0,1303,6.0
4343,4343,,3,325,6.0
4344,4344,,0,1304,6.0
4345,4345,,1,455,7.0
4346,4346,,0,1305,7.0
4347,4347,,2,325,5.0
4348,4348,,0,1306,7.0
4349,4349,,0,1307,6.0
4350,4350,,2,325,7.0
4351,4351,,0,1308,6.0
4352,4352,,14,379,7.0
4353,4353,,0,1309,5.0
4354,4354,,0,1310,8.0
4355,4355,,7,325,7.0
4356,4356,,0,1311,7.0
4357,4357,,0,1312,7.0
4358,4358,,3,445,6.0
4359,4359,,1,180,7.0
4360,4360,,0,1313,7.0
4361,4361,,0,1314,7.0
4362,4362,,1,100,7.0
4363,4363,,0,1315,7.0
4364,4364,,1,1316,5.0
4365,4365,,4,509,7.0
4366,4366,,0,1317,7.0
4367,4367,,0,1318,6.0
4368,4368,,6,351,7.0
4369,4369,,0,1319,7.0
4370,4370,,0,1320,7.0
4371,4371,,0,1321,6.0
4372,4372,,2,180,6.0
4373,4373,,4,325,6.0
4374,4374,,3,325,8.0
