,0
809,8.0
810,6.0
811,7.0
812,7.0
813,7.0
814,5.0
815,6.0
816,5.0
817,6.0
818,8.0
819,6.0
820,6.0
821,7.0
822,6.0
823,7.0
824,8.0
825,6.0
826,6.0
827,6.0
828,8.0
829,6.0
830,8.0
831,6.0
832,6.0
833,6.0
834,6.0
835,6.0
836,6.0
837,6.0
838,6.0
839,6.0
840,7.0
841,6.0
842,7.0
843,5.0
844,6.0
845,6.0
846,5.0
847,5.0
848,6.0
849,7.0
850,5.0
851,6.0
852,7.0
853,7.0
854,5.0
855,6.0
856,5.0
857,6.0
858,6.0
859,4.0
860,7.0
861,7.0
862,7.0
863,5.0
864,6.0
865,8.0
866,5.0
867,7.0
868,6.0
869,5.0
870,7.0
871,4.0
872,6.0
873,6.0
874,7.0
875,7.0
876,5.0
877,6.0
878,7.0
879,7.0
880,7.0
881,6.0
882,5.0
883,8.0
884,7.0
885,6.0
886,6.0
887,6.0
888,5.0
889,7.0
890,6.0
891,7.0
892,8.0
893,6.0
894,5.0
895,6.0
896,5.0
897,5.0
898,6.0
899,7.0
900,7.0
901,7.0
902,7.0
903,6.0
904,7.0
905,7.0
906,6.0
907,6.0
908,7.0
909,7.0
910,6.0
911,7.0
912,7.0
913,6.0
914,6.0
915,7.0
916,6.0
917,6.0
918,7.0
919,7.0
920,5.0
921,7.0
922,6.0
923,6.0
924,5.0
925,7.0
926,5.0
927,5.0
928,7.0
929,6.0
930,7.0
931,6.0
932,8.0
933,6.0
934,6.0
935,5.0
936,6.0
937,6.0
938,6.0
939,6.0
940,6.0
941,7.0
942,7.0
943,6.0
944,6.0
945,6.0
946,8.0
947,6.0
948,6.0
949,6.0
950,7.0
951,6.0
952,6.0
953,6.0
954,7.0
955,6.0
956,6.0
957,6.0
958,6.0
959,5.0
960,4.0
961,6.0
962,6.0
963,6.0
964,6.0
965,4.0
966,5.0
967,6.0
968,6.0
969,6.0
970,6.0
971,6.0
972,6.0
973,6.0
974,6.0
975,6.0
976,6.0
977,8.0
978,7.0
979,7.0
980,7.0
981,5.0
982,6.0
983,7.0
984,6.0
985,6.0
986,5.0
987,6.0
988,6.0
989,6.0
990,6.0
991,7.0
992,6.0
993,5.0
994,6.0
995,6.0
996,6.0
997,5.0
998,5.0
999,5.0
1000,5.0
1001,4.0
1002,6.0
1003,6.0
1004,7.0
1005,7.0
1006,8.0
1007,7.0
1008,7.0
1009,7.0
1010,7.0
1011,4.0
1012,7.0
1013,6.0
1014,6.0
1015,7.0
1016,6.0
1017,6.0
1018,7.0
1019,7.0
1020,6.0
1021,7.0
1022,6.0
1023,7.0
1024,6.0
1025,7.0
1026,7.0
1027,7.0
1028,8.0
1029,5.0
1030,6.0
1031,6.0
1032,6.0
1033,7.0
1034,7.0
1035,4.0
1036,6.0
1037,6.0
1038,7.0
1039,7.0
1040,5.0
1041,6.0
1042,6.0
1043,6.0
1044,6.0
1045,6.0
1046,6.0
1047,6.0
1048,7.0
1049,6.0
1050,6.0
1051,8.0
1052,7.0
1053,7.0
1054,5.0
1055,7.0
1056,7.0
1057,7.0
1058,6.0
1059,5.0
1060,6.0
1061,7.0
1062,7.0
1063,7.0
1064,6.0
1065,6.0
1066,6.0
1067,6.0
1068,7.0
1069,4.0
1070,6.0
1071,7.0
1072,6.0
1073,6.0
1074,6.0
1075,6.0
1076,6.0
1077,6.0
1078,6.0
1079,7.0
1080,7.0
1081,7.0
1082,6.0
1083,5.0
1084,5.0
1085,6.0
1086,5.0
1087,7.0
1088,6.0
1089,5.0
1090,6.0
1091,7.0
1092,7.0
1093,6.0
1094,6.0
1095,7.0
1096,5.0
1097,6.0
1098,6.0
1099,4.0
1100,6.0
1101,2.0
1102,7.0
1103,7.0
1104,6.0
1105,7.0
1106,6.0
1107,6.0
1108,7.0
1109,6.0
1110,6.0
1111,6.0
1112,7.0
1113,6.0
1114,7.0
1115,5.0
1116,7.0
1117,7.0
1118,6.0
1119,7.0
1120,7.0
1121,7.0
1122,6.0
1123,5.0
1124,7.0
1125,7.0
1126,6.0
1127,6.0
1128,7.0
1129,6.0
1130,5.0
1131,6.0
1132,6.0
1133,6.0
1134,4.0
1135,7.0
1136,7.0
1137,5.0
1138,6.0
1139,6.0
1140,7.0
1141,7.0
1142,5.0
1143,7.0
1144,5.0
1145,8.0
1146,6.0
1147,6.0
1148,7.0
1149,7.0
1150,7.0
1151,6.0
1152,7.0
1153,6.0
1154,5.0
1155,5.0
1156,7.0
1157,6.0
1158,7.0
1159,7.0
1160,7.0
1161,7.0
1162,6.0
1163,5.0
1164,6.0
1165,7.0
1166,6.0
1167,7.0
1168,7.0
1169,7.0
1170,7.0
1171,5.0
1172,7.0
1173,7.0
1174,6.0
1175,7.0
1176,7.0
1177,7.0
1178,6.0
1179,7.0
1180,6.0
1181,8.0
1182,5.0
1183,6.0
1184,6.0
1185,6.0
1186,5.0
1187,7.0
1188,6.0
1189,6.0
1190,6.0
1191,6.0
1192,5.0
1193,7.0
1194,7.0
1195,7.0
1196,8.0
1197,6.0
1198,6.0
1199,7.0
1200,6.0
1201,6.0
1202,6.0
1203,6.0
1204,7.0
1205,6.0
1206,7.0
1207,6.0
1208,7.0
1209,7.0
1210,6.0
1211,7.0
1212,6.0
1213,5.0
1214,5.0
1215,6.0
1216,6.0
1217,7.0
1218,5.0
1219,6.0
1220,6.0
1221,7.0
1222,5.0
1223,5.0
1224,6.0
1225,5.0
1226,7.0
1227,6.0
1228,6.0
1229,6.0
1230,5.0
1231,7.0
1232,6.0
1233,6.0
1234,6.0
1235,7.0
1236,5.0
1237,5.0
1238,5.0
1239,5.0
1240,6.0
1241,6.0
1242,5.0
1243,7.0
1244,6.0
1245,7.0
1246,7.0
1247,6.0
1248,6.0
1249,5.0
1250,6.0
1251,5.0
1252,7.0
1253,6.0
1254,5.0
1255,7.0
1256,4.0
1257,8.0
1258,6.0
1259,6.0
1260,8.0
1261,6.0
1262,6.0
1263,7.0
1264,6.0
1265,3.0
1266,6.0
1267,6.0
1268,6.0
1269,5.0
1270,4.0
1271,7.0
1272,6.0
1273,5.0
1274,5.0
1275,7.0
1276,6.0
1277,5.0
1278,6.0
1279,5.0
1280,7.0
1281,6.0
1282,7.0
1283,7.0
1284,6.0
1285,4.0
1286,7.0
1287,7.0
1288,6.0
1289,7.0
1290,8.0
1291,7.0
1292,6.0
1293,7.0
1294,7.0
1295,5.0
1296,5.0
1297,6.0
1298,7.0
1299,6.0
1300,6.0
1301,6.0
1302,5.0
1303,6.0
1304,6.0
1305,7.0
1306,7.0
1307,7.0
1308,6.0
1309,6.0
1310,5.0
1311,6.0
1312,6.0
1313,6.0
1314,6.0
1315,6.0
1316,7.0
1317,6.0
1318,8.0
1319,6.0
1320,6.0
1321,5.0
1322,6.0
1323,7.0
1324,4.0
1325,7.0
1326,6.0
1327,7.0
1328,7.0
1329,6.0
1330,7.0
1331,6.0
1332,8.0
1333,8.0
1334,5.0
1335,6.0
1336,7.0
1337,6.0
1338,7.0
1339,6.0
1340,7.0
1341,5.0
1342,7.0
1343,6.0
1344,6.0
1345,7.0
1346,5.0
1347,6.0
1348,5.0
1349,6.0
1350,6.0
1351,6.0
1352,8.0
1353,5.0
1354,5.0
1355,5.0
1356,7.0
1357,7.0
1358,6.0
1359,7.0
1360,6.0
1361,6.0
1362,7.0
1363,6.0
1364,7.0
1365,7.0
1366,7.0
1367,6.0
1368,6.0
1369,7.0
1370,7.0
1371,6.0
1372,6.0
1373,7.0
1374,8.0
1375,6.0
1376,6.0
1377,6.0
1378,7.0
1379,6.0
1380,6.0
1381,7.0
1382,6.0
1383,7.0
1384,7.0
1385,6.0
1386,7.0
1387,7.0
1388,6.0
1389,5.0
1390,6.0
1391,5.0
1392,5.0
1393,6.0
1394,7.0
1395,6.0
1396,7.0
1397,6.0
1398,5.0
1399,7.0
1400,6.0
1401,6.0
1402,5.0
1403,7.0
1404,4.0
1405,8.0
1406,6.0
1407,6.0
1408,7.0
1409,6.0
1410,6.0
1411,5.0
1412,6.0
1413,6.0
1414,6.0
1415,6.0
1416,6.0
1417,5.0
1418,6.0
1419,6.0
1420,6.0
1421,6.0
1422,6.0
1423,6.0
1424,7.0
1425,6.0
1426,5.0
1427,7.0
1428,5.0
1429,6.0
1430,5.0
1431,6.0
1432,5.0
1433,7.0
1434,6.0
1435,6.0
1436,5.0
1437,5.0
1438,6.0
1439,6.0
1440,6.0
1441,7.0
1442,6.0
1443,6.0
1444,7.0
1445,5.0
1446,7.0
1447,5.0
1448,6.0
1449,5.0
1450,6.0
1451,5.0
1452,7.0
1453,5.0
1454,7.0
1455,7.0
1456,8.0
1457,7.0
1458,6.0
1459,7.0
1460,7.0
1461,7.0
1462,7.0
1463,6.0
